name;x;y;demand;availableFrom;availableTo;serviceTime
0;400;400;0;00:00;23:59;0
1;781;561;5;14:00;12:30;4
2;44;773;9;05:30;10:00;3
3;40;358;5;01:30;20:00;5
4;631;717;9;19:00;19:30;3
5;145;206;6;21:00;01:00;5
6;662;678;3;12:30;06:00;4
7;284;347;7;00:30;15:30;1
8;186;658;2;12:00;02:00;2
9;391;59;10;14:30;00:00;3
10;108;426;2;21:00;14:00;5
11;290;445;3;13:30;08:30;3
12;740;458;5;14:30;16:30;1
13;502;617;8;19:30;16:30;2
14;219;420;5;11:00;20:30;1
15;659;475;4;03:00;20:00;1
16;410;663;6;00:00;20:30;1
17;259;195;2;12:00;17:30;5
18;316;568;5;22:00;06:00;1
19;103;137;10;05:00;12:00;3
20;175;49;7;16:00;09:30;3
21;108;128;7;00:30;11:30;1
22;694;731;2;11:00;13:00;2
23;326;13;1;08:30;13:30;4
24;208;507;9;03:00;14:00;5
25;487;539;10;14:30;07:30;1
26;24;652;8;05:00;12:00;2
27;589;603;6;22:30;17:00;3
28;348;329;1;23:00;00:30;1
29;289;793;6;07:30;01:00;2
30;121;62;4;21:00;06:00;2
31;42;783;9;05:00;21:30;4
32;130;738;5;22:30;02:30;1
33;123;595;6;18:00;11:00;3
34;170;788;4;23:30;18:00;5
35;673;757;9;11:00;05:30;4
36;159;711;5;07:30;22:00;4
37;526;286;9;00:30;23:00;2
38;121;204;7;17:00;17:00;4
39;660;470;2;04:00;15:00;5
40;31;491;9;16:30;07:30;5
41;94;311;8;09:00;05:30;3
42;569;267;8;13:30;18:00;3
43;192;447;7;03:00;05:30;5
44;251;139;5;13:30;23:30;1
45;336;321;1;00:00;03:30;3
46;343;400;3;09:30;21:00;1
47;295;155;9;19:30;19:30;1
48;451;472;9;13:00;02:00;1
49;84;754;6;07:30;22:30;3
50;714;292;6;22:00;01:30;2
51;43;327;3;20:00;19:30;2
52;201;360;4;10:30;12:00;1
53;610;707;10;05:30;19:00;3
54;262;69;3;10:00;02:00;4
55;133;388;3;09:00;07:00;3
56;190;234;1;15:30;18:00;4
57;256;44;8;06:00;14:30;3
58;36;387;9;15:30;22:30;3
59;492;462;1;00:30;05:30;4
60;549;101;5;08:00;21:30;4
61;643;256;9;04:30;01:30;2
62;503;97;10;09:30;04:00;2
63;97;527;2;16:00;15:30;1
64;598;510;4;14:00;22:30;4
65;211;357;6;17:30;06:00;1
66;24;327;9;01:30;03:00;3
67;19;455;2;19:00;05:00;4
68;15;13;9;06:00;06:30;5
69;353;472;2;09:00;00:00;1
70;496;753;1;04:30;04:30;4
71;99;791;10;11:30;20:30;4
72;289;726;5;03:30;10:30;5
73;655;474;8;04:30;21:30;5
74;686;270;1;17:30;19:00;2
75;67;561;8;03:00;08:00;5
76;155;484;10;07:00;23:30;3
77;259;631;2;06:30;09:00;1
78;643;29;3;01:00;19:30;1
79;219;209;10;02:00;23:00;3
80;411;305;5;16:30;04:00;4
