name;x;y;demand;availableFrom;availableTo;serviceTime
0;400;400;0;00:00;23:59;0
1;625;286;9;14:00;12:30;4
2;453;303;6;05:30;10:00;3
3;281;141;7;01:30;20:00;5
4;672;598;1;19:00;19:30;3
5;355;586;10;21:00;01:00;5
6;137;719;2;12:30;06:00;4
7;356;74;3;00:30;15:30;1
8;666;461;2;12:00;02:00;2
9;450;82;4;14:30;00:00;3
10;457;411;9;21:00;14:00;5
11;479;712;3;13:30;08:30;3
12;228;684;6;14:30;16:30;1
13;307;14;8;19:30;16:30;2
14;385;233;8;11:00;20:30;1
15;27;124;5;03:00;20:00;1
16;271;597;8;00:00;20:30;1
17;537;80;9;12:00;17:30;5
18;154;402;5;22:00;06:00;1
19;198;374;1;05:00;12:00;3
20;434;656;4;16:00;09:30;3
21;74;722;3;00:30;11:30;1
22;243;289;1;11:00;13:00;2
23;108;437;4;08:30;13:30;4
24;637;533;3;03:00;14:00;5
25;505;222;6;14:30;07:30;1
26;144;537;7;05:00;12:00;2
27;726;787;7;22:30;17:00;3
28;741;392;2;23:00;00:30;1
29;46;55;8;07:30;01:00;2
30;103;76;9;21:00;06:00;2
31;151;252;4;05:00;21:30;4
32;184;253;9;22:30;02:30;1
33;180;383;2;18:00;11:00;3
34;140;388;6;23:30;18:00;5
35;381;569;8;11:00;05:30;4
36;671;478;6;07:30;22:00;4
37;350;392;6;00:30;23:00;2
38;413;778;9;17:00;17:00;4
39;445;662;1;04:00;15:00;5
40;572;252;4;16:30;07:30;5
41;312;267;9;09:00;05:30;3
42;25;304;4;13:30;18:00;3
43;274;631;7;03:00;05:30;5
44;58;366;4;13:30;23:30;1
45;331;186;2;00:00;03:30;3
46;571;434;3;09:30;21:00;1
47;75;391;8;19:30;19:30;1
48;270;305;5;13:00;02:00;1
49;69;282;4;07:30;22:30;3
50;132;617;8;22:00;01:30;2
51;582;140;7;20:00;19:30;2
52;289;91;8;10:30;12:00;1
53;766;270;6;05:30;19:00;3
54;490;557;2;10:00;02:00;4
55;400;782;3;09:00;07:00;3
56;333;759;1;15:30;18:00;4
57;154;697;9;06:00;14:30;3
58;163;435;10;15:30;22:30;3
59;184;304;1;00:30;05:30;4
60;363;196;9;08:00;21:30;4
