name;x;y;demand;availableFrom;availableTo;serviceTime
0;400;400;0;00:01;23:59;0
1;607;481;9;14:00;12:30;4
2;666;344;1;05:30;10:00;3
3;531;556;5;01:30;20:00;5
4;309;60;3;19:00;23:30;3
5;449;791;5;21:00;01:00;5
6;604;174;4;12:30;06:00;4
7;477;563;10;00:30;15:30;1
8;534;75;9;12:00;02:00;2
9;128;402;2;14:30;00:00;3
10;620;103;5;21:00;14:00;5
11;172;180;5;13:30;08:30;3
12;512;311;8;14:30;16:30;1
13;700;64;3;19:30;16:30;2
14;53;280;1;11:00;20:30;1
15;78;656;5;03:00;20:00;1
16;312;663;2;00:00;20:30;1
17;297;81;6;12:00;17:30;5
18;335;706;10;22:00;06:00;1
19;246;240;7;05:00;12:00;3
20;544;221;7;16:00;09:30;3
21;9;145;8;00:30;11:30;1
22;143;498;5;11:00;13:00;2
23;765;609;2;08:30;13:30;4
24;308;24;1;03:00;14:00;5
25;290;627;10;14:30;07:30;1
26;262;67;7;05:00;12:00;2
27;51;477;5;22:30;17:00;3
28;570;299;10;20:00;00:30;1
29;599;714;1;07:30;01:00;2
30;34;700;1;21:00;06:00;2
31;502;577;1;05:00;21:30;4
32;360;223;10;22:30;02:30;1
33;654;183;7;18:00;11:00;3
34;143;139;1;23:30;18:00;5
35;85;128;6;11:00;05:30;4
36;188;534;5;07:30;22:00;4
37;650;124;7;00:30;23:00;2
38;22;791;1;07:00;17:00;4
39;376;783;6;04:00;15:00;5
40;718;561;10;16:30;07:30;5
41;276;133;3;09:00;05:30;3
42;243;463;3;13:30;18:00;3
43;301;586;6;02:00;05:30;5
44;579;354;8;13:30;23:30;1
45;621;32;6;00:00;03:30;3
46;407;397;4;09:30;21:00;1
47;551;675;9;07:30;19:30;1
48;623;709;7;13:00;02:00;1
49;601;444;4;07:30;22:30;3
50;351;56;7;22:00;01:30;2
51;731;189;6;02:00;19:30;2
52;36;207;5;10:00;12:00;1
53;196;506;1;05:30;19:00;3
54;489;180;2;10:00;02:00;4
55;401;31;9;09:00;07:00;3
56;728;452;5;15:30;18:00;4
57;416;491;1;06:00;14:30;3
58;552;278;2;15:30;22:30;3
59;153;171;8;00:30;05:30;4
60;105;196;5;08:00;21:30;4
61;324;305;6;04:30;01:30;2
62;559;559;2;09:30;04:00;2
63;97;465;5;09:00;15:30;1
64;268;553;3;14:00;22:30;4
65;395;677;4;17:30;06:00;1
66;304;612;2;01:00;03:00;3
67;96;546;2;19:00;05:00;4
68;205;215;3;01:00;06:30;5
69;698;20;10;09:00;00:00;1
70;341;324;3;04:30;14:30;4
71;651;292;8;11:30;20:30;4
72;680;520;7;03:30;10:30;5
73;124;499;1;04:30;21:30;5
74;567;126;10;17:30;19:00;2
75;707;609;6;03:00;08:00;5
76;790;474;5;07:00;23:30;3
77;253;487;6;06:30;09:00;1
78;467;436;8;01:00;19:30;1
79;220;627;1;02:00;23:00;3
80;769;574;5;16:30;04:00;4
81;629;749;8;21:00;13:00;4
82;299;771;3;00:30;07:00;4
83;354;278;1;02:30;12:30;3
84;211;330;10;23:30;00:30;5
85;493;526;7;03:00;13:30;1
86;74;698;10;08:00;01:30;1
87;502;213;2;18:00;07:30;5
88;127;577;10;14:30;04:00;3
89;190;99;7;22:30;08:00;4
90;783;439;10;00:00;10:00;1
91;467;121;4;15:00;22:00;2
92;421;605;2;08:30;11:30;4
93;432;511;4;10:30;07:30;5
94;220;356;9;02:30;21:30;1
95;148;7;9;23:30;09:30;4
96;26;550;7;13:30;07:00;3
97;717;353;5;01:30;14:30;2
98;118;139;9;05:30;08:30;2
99;76;370;3;13:30;19:30;4
100;108;669;5;18:30;22:00;3
